Year,CountyNum,CountyName,Sector,RNR, MMTherms 
1991,7,CONTRA COSTA,Commercial,Non-Residential,44.5208
1991,7,CONTRA COSTA,Industrial,Non-Residential,552.6579
1991,7,CONTRA COSTA,Mining,Non-Residential,2.5983
1991,7,CONTRA COSTA,Residential,Residential,191.8459
1991,7,CONTRA COSTA,TCU,Non-Residential,2.4141
1991,9,EL DORADO,Commercial,Non-Residential,8.2078
1991,9,EL DORADO,Industrial,Non-Residential,1.4502
1991,9,EL DORADO,Mining,Non-Residential,0.0003
1991,9,EL DORADO,Residential,Residential,3.7945
1991,9,EL DORADO,TCU,Non-Residential,0.0197
1991,10,FRESNO,Ag With Water Pump,Non-Residential,3.7793
1991,10,FRESNO,Commercial,Non-Residential,41.8525
1991,10,FRESNO,Industrial,Non-Residential,66.9721
1991,10,FRESNO,Mining,Non-Residential,56.3947
1991,10,FRESNO,Residential,Residential,111.7695
1991,10,FRESNO,TCU,Non-Residential,2.0765
1991,11,GLENN,Ag With Water Pump,Non-Residential,0.1934
1991,11,GLENN,Commercial,Non-Residential,1.475
1991,11,GLENN,Industrial,Non-Residential,11.0687
1991,11,GLENN,Mining,Non-Residential,0.1852
1991,11,GLENN,Residential,Residential,2.9065
1991,11,GLENN,TCU,Non-Residential,0.0135
1991,12,HUMBOLDT,Ag With Water Pump,Non-Residential,0.3318
1991,12,HUMBOLDT,Commercial,Non-Residential,8.8824
1991,12,HUMBOLDT,Industrial,Non-Residential,23.0136
1991,12,HUMBOLDT,Mining,Non-Residential,0.0664
1991,12,HUMBOLDT,Residential,Residential,22.5309
1991,12,HUMBOLDT,TCU,Non-Residential,0.153
1991,13,IMPERIAL,Ag With Water Pump,Non-Residential,0.7447
1991,13,IMPERIAL,Commercial,Non-Residential,2.0808
1991,13,IMPERIAL,Industrial,Non-Residential,11.4391
1991,13,IMPERIAL,Mining,Non-Residential,0.0007
1991,13,IMPERIAL,Residential,Residential,6.7397
1991,13,IMPERIAL,TCU,Non-Residential,0.2518
1991,15,KERN,Ag With Water Pump,Non-Residential,6.0746
1991,15,KERN,Commercial,Non-Residential,57.7769
1991,15,KERN,Industrial,Non-Residential,107.3277
1991,15,KERN,Mining,Non-Residential,"1,552.45"
1991,15,KERN,Residential,Residential,97.1456
1991,15,KERN,TCU,Non-Residential,6.3906
1991,16,KINGS,Ag With Water Pump,Non-Residential,1.0758
1991,16,KINGS,Commercial,Non-Residential,7.614
1991,16,KINGS,Industrial,Non-Residential,11.2039
1991,16,KINGS,Mining,Non-Residential,1.3182
1991,16,KINGS,Residential,Residential,15.9282
1991,16,KINGS,TCU,Non-Residential,3.5807
1991,19,LOS ANGELES,Ag With Water Pump,Non-Residential,5.4794
1991,19,LOS ANGELES,Commercial,Non-Residential,419.143
1991,19,LOS ANGELES,Industrial,Non-Residential,681.3788
1991,19,LOS ANGELES,Mining,Non-Residential,33.5847
1991,19,LOS ANGELES,Residential,Residential,"1,507.21"
1991,19,LOS ANGELES,TCU,Non-Residential,58.9459
1991,20,MADERA,Ag With Water Pump,Non-Residential,0.6446
1991,20,MADERA,Commercial,Non-Residential,3.5002
1991,20,MADERA,Industrial,Non-Residential,42.3741
1991,20,MADERA,Mining,Non-Residential,0.1186
1991,20,MADERA,Residential,Residential,7.3522
1991,20,MADERA,TCU,Non-Residential,0.0123
1991,21,MARIN,Ag With Water Pump,Non-Residential,0.4261
1991,21,MARIN,Commercial,Non-Residential,16.0204
1991,21,MARIN,Industrial,Non-Residential,3.9717
1991,21,MARIN,Mining,Non-Residential,0.4631
1991,21,MARIN,Residential,Residential,64.1415
1991,21,MARIN,TCU,Non-Residential,0.4209
1991,23,MENDOCINO,Ag With Water Pump,Non-Residential,0.0238
1991,23,MENDOCINO,Commercial,Non-Residential,2.9874
1991,23,MENDOCINO,Industrial,Non-Residential,5.5023
1991,23,MENDOCINO,Mining,Non-Residential,0.2102
1991,23,MENDOCINO,Residential,Residential,6.1636
1991,23,MENDOCINO,TCU,Non-Residential,0.0372
1991,24,MERCED,Ag With Water Pump,Non-Residential,1.4873
1991,24,MERCED,Commercial,Non-Residential,6.5377
1991,24,MERCED,Industrial,Non-Residential,47.9968
1991,24,MERCED,Mining,Non-Residential,0.0673
